url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,18,5
/yinlinchen/amplify-preview-actions/blob/master/action.yml,13,2
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,10,2
/yinlinchen/amplify-preview-actions/blob/master/Dockerfile,7,2
/yinlinchen/amplify-preview-actions/blob/master/examples.md,6,1
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,2,1
/yinlinchen/amplify-preview-actions/pulls,2,1
/yinlinchen/amplify-preview-actions/tree/master,2,1
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/close_inactivate_issues.yml,1,1
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/github-repo-stats.yml,1,1
