time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-07 00:00:00+00:00,2,2,0,0
2026-09-08 00:00:00+00:00,1,1,0,0
2026-09-09 00:00:00+00:00,2,2,0,0
2026-09-10 00:00:00+00:00,10,5,1,1
2026-09-11 00:00:00+00:00,4,4,1,1
2026-09-12 00:00:00+00:00,3,3,1,1
2026-09-13 00:00:00+00:00,2,2,0,0
2026-09-14 00:00:00+00:00,17,8,0,0
2026-09-15 00:00:00+00:00,5,4,1,1
2026-09-16 00:00:00+00:00,2,2,0,0
2026-09-17 00:00:00+00:00,1,1,0,0
2026-09-18 00:00:00+00:00,11,6,0,0
2026-09-19 00:00:00+00:00,20,10,0,0
2026-09-20 00:00:00+00:00,3,3,0,0
