time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-02 00:00:00+00:00,11,6,0,0
2026-07-03 00:00:00+00:00,15,6,0,0
2026-07-04 00:00:00+00:00,21,8,0,0
2026-07-05 00:00:00+00:00,14,5,0,0
2026-07-06 00:00:00+00:00,19,6,0,0
2026-07-07 00:00:00+00:00,11,5,0,0
2026-07-08 00:00:00+00:00,8,3,1,1
2026-07-09 00:00:00+00:00,2,2,0,0
2026-07-10 00:00:00+00:00,2,2,0,0
2026-07-11 00:00:00+00:00,1,1,0,0
2026-07-12 00:00:00+00:00,9,4,1,1
2026-07-13 00:00:00+00:00,1,1,0,0
2026-07-14 00:00:00+00:00,20,6,0,0
2026-07-15 00:00:00+00:00,8,4,0,0
