url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,18,5
/yinlinchen/amplify-preview-actions/blob/master/action.yml,13,2
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,10,2
/yinlinchen/amplify-preview-actions/blob/master/examples.md,8,2
/yinlinchen/amplify-preview-actions/blob/master/Dockerfile,7,2
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,6,3
/yinlinchen/amplify-preview-actions/pulls,4,2
/yinlinchen/amplify-preview-actions/issues,2,1
/yinlinchen/amplify-preview-actions/pull/18,2,1
/yinlinchen/amplify-preview-actions/tree/master,2,1
