url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,21,6
/yinlinchen/amplify-preview-actions/blob/master/examples.md,8,3
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,8,1
/yinlinchen/amplify-preview-actions/blob/824ad2d4a38bd6ff86e3345f80c8f9382700bc39/entrypoint.sh,6,1
/yinlinchen/amplify-preview-actions/blob/master/action.yml,5,2
/yinlinchen/amplify-preview-actions/issues,5,1
/yinlinchen/amplify-preview-actions/tree/master/.github/workflows,3,1
/yinlinchen/amplify-preview-actions/pulls,2,1
/yinlinchen/amplify-preview-actions/tree/github-repo-stats/yinlinchen/amplify-preview-actions,2,1
/yinlinchen/amplify-preview-actions/tree/master/.github,2,1
