time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-06 00:00:00+00:00,7,2,0,0
2026-08-07 00:00:00+00:00,18,8,0,0
2026-08-08 00:00:00+00:00,1,1,0,0
2026-08-09 00:00:00+00:00,1,1,0,0
2026-08-10 00:00:00+00:00,14,5,0,0
2026-08-11 00:00:00+00:00,28,15,1,1
2026-08-12 00:00:00+00:00,7,3,0,0
2026-08-13 00:00:00+00:00,3,3,1,1
2026-08-14 00:00:00+00:00,12,7,0,0
2026-08-15 00:00:00+00:00,10,5,0,0
2026-08-16 00:00:00+00:00,1,1,0,0
2026-08-17 00:00:00+00:00,14,5,0,0
2026-08-18 00:00:00+00:00,9,5,0,0
2026-08-19 00:00:00+00:00,2,2,0,0
